trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776386801397_w0_0020,0,0,2026-04-16 19:46:41,581.94,ok,3.4158415841584158,1.4158415841584158,0.25,16.425742574257427,16.217821782178216,101,0.9009087044339276,yolo26m.pt,1280,16,SGD,0.003,0.01,0.937,0.0,5.0,True,5.0,0.25,1.5,0.015,0.5,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.2,10,0.3,
1776387383960_w0_0021,0,0,2026-04-16 19:56:23,306.04,ok,3.900990099009901,1.5247524752475248,0.2,16.425742574257427,16.623762376237625,101,0.8917453379148182,yolo26s.pt,1280,16,SGD,0.003,0.1,0.937,0.0,1.0,True,5.0,1.0,0.5,0.0,0.3,0.4,5.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.2,
1776387690509_w0_0022,0,0,2026-04-16 20:01:30,579.75,ok,3.01980198019802,1.316831683168317,0.3,16.425742574257427,16.277227722772277,101,0.9013865420828047,yolo26m.pt,1280,16,SGD,0.003,0.01,0.937,0.0,1.0,True,10.0,1.0,0.5,0.0,0.3,0.4,5.0,0.1,0.25,0.0,0.1,0.5,0.0,0.0,0.0,10,0.2,
1776388270856_w0_0023,0,0,2026-04-16 20:11:10,310.11,ok,3.6930693069306932,1.5742574257425743,0.3,16.425742574257427,16.198019801980198,101,0.8979576209009444,yolo26s.pt,1280,16,auto,0.003,0.1,0.95,0.001,1.0,True,7.5,0.25,1.5,0.015,0.5,0.4,0.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.3,
1776388581500_w0_0024,0,0,2026-04-16 20:16:21,590.53,ok,3.99009900990099,1.5742574257425743,0.25,16.425742574257427,16.257425742574256,101,0.8910036712210626,yolo26m.pt,1280,16,auto,0.01,0.01,0.937,0.0,1.0,True,7.5,0.5,1.5,0.0,0.5,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.25,0.0,0.2,10,0.2,
1776389172657_w0_0025,0,0,2026-04-16 20:26:12,301.01,ok,3.6534653465346536,1.4356435643564356,0.25,16.425742574257427,16.217821782178216,101,0.8875499186263144,yolo26s.pt,1280,16,SGD,0.001,0.1,0.95,0.0,1.0,True,10.0,1.0,1.5,0.0,0.3,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.0,5,0.0,
1776389474178_w0_0026,0,0,2026-04-16 20:31:14,585.3,ok,3.514851485148515,1.4752475247524752,0.25,16.425742574257427,16.198019801980198,101,0.8928015050207591,yolo26m.pt,1280,16,SGD,0.003,0.05,0.95,0.0,5.0,True,7.5,1.0,1.5,0.015,0.5,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,5,0.2,
1776390060110_w0_0027,0,0,2026-04-16 20:41:00,589.54,ok,3.4752475247524752,1.4158415841584158,0.3,16.425742574257427,16.019801980198018,101,0.9064451262932167,yolo26m.pt,1280,16,auto,0.003,0.05,0.937,0.001,5.0,True,10.0,1.0,1.5,0.0,0.5,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.2,5,0.0,
1776390650298_w0_0028,0,0,2026-04-16 20:50:50,304.31,ok,3.4752475247524752,1.3762376237623761,0.3,16.425742574257427,16.257425742574256,101,0.8966783457807685,yolo26s.pt,1280,16,auto,0.001,0.05,0.95,0.0,5.0,True,10.0,0.5,1.5,0.015,0.3,0.4,5.0,0.1,0.25,0.0,0.1,0.5,0.0,0.0,0.0,5,0.0,
1776390955134_w0_0029,0,0,2026-04-16 20:55:55,306.73,ok,4.534653465346534,1.6633663366336633,0.3,16.425742574257427,15.811881188118813,101,0.8850253585822431,yolo26s.pt,1280,16,SGD,0.01,0.1,0.95,0.001,5.0,True,5.0,1.0,0.5,0.015,0.3,0.4,5.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.2,
1776391262394_w0_0030,0,0,2026-04-16 21:01:02,583.66,ok,4.1683168316831685,1.495049504950495,0.25,16.425742574257427,16.277227722772277,101,0.9027130188595195,yolo26m.pt,1280,16,SGD,0.01,0.01,0.937,0.0,1.0,True,7.5,1.0,1.5,0.0,0.3,0.4,0.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.2,10,0.3,
1776391846636_w0_0031,0,0,2026-04-16 21:10:46,580.79,ok,3.98019801980198,1.603960396039604,0.3,16.425742574257427,16.14851485148515,101,0.8948484146791238,yolo26m.pt,1280,16,SGD,0.01,0.01,0.937,0.0,5.0,True,10.0,1.0,1.5,0.0,0.5,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.2,5,0.2,
1776392428055_w0_0032,0,0,2026-04-16 21:20:28,584.16,ok,3.9207920792079207,1.4851485148514851,0.25,16.425742574257427,16.287128712871286,101,0.8982102133403417,yolo26m.pt,1280,16,SGD,0.01,0.05,0.95,0.0,5.0,True,10.0,0.5,1.5,0.0,0.3,0.4,5.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.2,5,0.3,
1776393012865_w0_0033,0,0,2026-04-16 21:30:12,314.45,ok,3.9603960396039604,1.5247524752475248,0.25,16.425742574257427,16.84158415841584,101,0.8838950306997241,yolo26s.pt,1280,16,auto,0.003,0.05,0.937,0.0,1.0,True,5.0,1.0,0.5,0.015,0.5,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.25,0.0,0.2,5,0.2,
1776393327836_w0_0034,0,0,2026-04-16 21:35:27,304.44,ok,5.00990099009901,1.801980198019802,0.25,16.425742574257427,16.900990099009903,101,0.8817891695341764,yolo26s.pt,1280,16,SGD,0.01,0.1,0.937,0.0,1.0,True,10.0,0.25,0.5,0.0,0.5,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.0,
1776393632817_w0_0035,0,0,2026-04-16 21:40:32,587.2,ok,4.287128712871287,1.693069306930693,0.25,16.425742574257427,16.574257425742573,101,0.8986754437593543,yolo26m.pt,1280,16,auto,0.001,0.01,0.937,0.001,1.0,True,5.0,1.0,0.5,0.0,0.3,0.4,0.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.2,
1776394220624_w0_0036,0,0,2026-04-16 21:50:20,581.5,ok,4.554455445544554,1.5841584158415842,0.25,16.425742574257427,15.930693069306932,101,0.8953840886840548,yolo26m.pt,1280,16,SGD,0.001,0.01,0.95,0.0,1.0,True,7.5,0.25,0.5,0.0,0.5,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.2,10,0.0,
1776394802710_w0_0037,0,0,2026-04-16 22:00:02,590.11,ok,3.0693069306930694,1.3267326732673268,0.25,16.425742574257427,16.623762376237625,101,0.9068867609281992,yolo26m.pt,1280,16,auto,0.001,0.1,0.95,0.0,5.0,True,7.5,1.0,0.5,0.0,0.3,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.2,5,0.3,
1776395393509_w0_0038,0,0,2026-04-16 22:09:53,308.59,ok,4.732673267326732,1.6435643564356435,0.25,16.425742574257427,16.485148514851485,101,0.9013502220767541,yolo26s.pt,1280,16,auto,0.001,0.05,0.95,0.001,5.0,True,7.5,0.5,0.5,0.015,0.3,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.2,5,0.2,
1776395702597_w0_0039,0,0,2026-04-16 22:15:02,585.67,ok,3.603960396039604,1.4653465346534653,0.25,16.425742574257427,16.584158415841586,101,0.9061984553889078,yolo26m.pt,1280,16,auto,0.001,0.05,0.937,0.0,5.0,True,7.5,1.0,0.5,0.015,0.5,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.0,5,0.3,
1776396288909_w0_0040,0,0,2026-04-16 22:24:48,307.01,ok,4.702970297029703,1.6534653465346534,0.25,16.425742574257427,16.257425742574256,101,0.8851407801584127,yolo26s.pt,1280,16,SGD,0.003,0.05,0.937,0.001,5.0,True,10.0,1.0,1.5,0.015,0.3,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,5,0.2,
1776396596430_w0_0041,0,0,2026-04-16 22:29:56,585.92,ok,3.118811881188119,1.4158415841584158,0.25,16.425742574257427,16.514851485148515,101,0.9040090077310913,yolo26m.pt,1280,16,auto,0.01,0.05,0.95,0.0,1.0,True,7.5,0.5,0.5,0.015,0.5,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.0,5,0.0,
1776397182954_w0_0042,0,0,2026-04-16 22:39:42,585.24,ok,5.0495049504950495,1.7425742574257426,0.25,16.425742574257427,16.425742574257427,101,0.8936094417441106,yolo26m.pt,1280,16,SGD,0.003,0.01,0.937,0.0,1.0,True,7.5,1.0,1.5,0.015,0.5,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,5,0.0,
1776397768800_w0_0043,0,0,2026-04-16 22:49:28,306.83,ok,4.673267326732673,1.6237623762376239,0.25,16.425742574257427,16.465346534653467,101,0.878263527598506,yolo26s.pt,1280,16,SGD,0.001,0.01,0.937,0.001,5.0,True,5.0,1.0,0.5,0.0,0.3,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,5,0.3,
1776398076135_w0_0044,0,0,2026-04-16 22:54:36,304.49,ok,3.613861386138614,1.495049504950495,0.25,16.425742574257427,16.336633663366335,101,0.8847071810990987,yolo26s.pt,1280,16,SGD,0.003,0.01,0.937,0.0,5.0,True,5.0,0.5,1.5,0.0,0.3,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,10,0.0,
1776398381142_w0_0045,0,0,2026-04-16 22:59:41,585.5,ok,3.9702970297029703,1.5544554455445545,0.3,16.425742574257427,16.574257425742573,101,0.8912321568184985,yolo26m.pt,1280,16,SGD,0.01,0.05,0.937,0.0,5.0,True,5.0,1.0,1.5,0.015,0.3,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,5,0.0,
